name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Tequila, Mexico",2020-12-22,80.9,42.9,62.3,79.2,41.3,62,40.8,51.7,0,0,0,,,,,10.3,292.5,1018.6,63.3,7.1,182.4,15.8,7,,2020-12-22T07:28:28,2020-12-22T18:20:12,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote,F6804"
"Tequila, Mexico",2020-12-23,83.4,46.1,63.7,80.7,46.1,63.4,38.4,44.3,0,0,0,,,,,11,284.8,1015.5,29.2,7.6,205.7,17.7,8,,2020-12-23T07:28:56,2020-12-23T18:20:43,0.29,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-24,82.7,39.3,61.5,80.1,39.3,61.1,31.2,39.3,0,0,0,,,,,7.4,11,1017.7,22.5,8,209.7,18.1,8,,2020-12-24T07:29:24,2020-12-24T18:21:16,0.33,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-25,80.5,44.3,60.3,79.4,40.4,59.4,35.8,43.2,0,0,0,,,,,10.1,127.9,1015.3,25.4,7.8,210.6,18.2,8,,2020-12-25T07:29:50,2020-12-25T18:21:49,0.36,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-26,81.6,39.1,61.9,79.4,39.1,61.7,34.8,43,0,0,0,,,,,11.5,278.6,1014.5,13.4,7.9,215.6,18.7,8,,2020-12-26T07:30:16,2020-12-26T18:22:23,0.39,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-27,80.3,39.2,59.4,79.2,39.2,59.1,30.7,40,0,0,0,,,,,5.8,178.5,1015,25.2,7.6,203.6,17.6,8,,2020-12-27T07:30:40,2020-12-27T18:22:57,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-28,82.1,39.1,60.3,79.9,39.1,60.2,34.2,41.7,0,0,0,,,,,6.3,183.5,1016.8,0.4,7.2,197.3,17,7,,2020-12-28T07:31:04,2020-12-28T18:23:32,0.45,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-29,80,41.1,60,80,41.1,60,36.2,47,0,0,0,,,,,11,240.5,1015.9,0,8,200.1,17.3,7,,2020-12-29T07:31:27,2020-12-29T18:24:08,0.5,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-30,74.6,37.3,55.8,74.6,33.6,55.3,34.8,53.1,0.012,100,12.5,rain,,,31.1,17.2,218.1,1011.4,5.1,7.5,211.5,18.2,8,,2020-12-30T07:31:48,2020-12-30T18:24:45,0.52,Rain,Clear conditions throughout the day with late afternoon rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2020-12-31,68.1,44.7,54.4,68.1,41.2,53.4,34.8,54.1,0.008,100,8.33,rain,,,17.9,12.8,258.5,1011.4,40.4,8.9,211,18.2,8,,2020-12-31T07:32:08,2020-12-31T18:25:22,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-01,76.4,37.3,54.6,76.4,36.6,53.9,32.4,49.8,0,0,0,,,,,12.3,212.9,1012.8,39.3,6.9,189.4,16.5,7,,2021-01-01T07:32:28,2021-01-01T18:25:59,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-02,78.3,33.9,56.2,78.3,33.9,55.7,30.9,47.6,0,0,0,,,,,6.5,154.5,1016.8,8.1,7.9,222,19.3,8,,2021-01-02T07:32:46,2021-01-02T18:26:37,0.63,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-03,78.5,37.5,57.6,78.5,37.5,57.3,30,39.4,0,0,0,,,,,6.3,201.7,1019.5,57.1,6.9,187.9,16.3,7,,2021-01-03T07:33:03,2021-01-03T18:27:15,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-04,78.7,37.5,59.6,78.7,37.5,59.5,32.7,41.1,0,0,0,,,,,4.7,331.5,1019.7,6.8,7,200,17.2,7,,2021-01-04T07:33:19,2021-01-04T18:27:54,0.7,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-05,79.4,43.1,61.2,79.4,43.1,61.2,36.1,43.4,0,0,0,,,,,7.4,249.1,1015.8,5.4,7,195.9,17,7,,2021-01-05T07:33:33,2021-01-05T18:28:33,0.73,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-06,77.1,40.9,61,77.1,40.9,61,41.1,55,0,0,0,,,,,15,255.8,1014.3,52.5,8,178.2,15.4,8,,2021-01-06T07:33:46,2021-01-06T18:29:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-07,76.7,48.3,61.5,76.7,48.3,61.5,36,44.2,0,0,0,,,,,5.8,359.8,1016.4,74.5,7,153,13.1,7,,2021-01-07T07:33:59,2021-01-07T18:29:52,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-08,77.1,49.4,62.9,77.1,49.4,62.9,40,46.1,0,0,0,,,,,5.6,204.7,1016.9,53.6,7.4,178.4,15.2,7,,2021-01-08T07:34:09,2021-01-08T18:30:32,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-09,75.5,49.9,61.5,75.5,49.9,61.5,46,59.9,0,0,0,,,,17.9,14.5,227.9,1015.1,35.8,8.8,164.3,14.1,7,,2021-01-09T07:34:19,2021-01-09T18:31:12,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-10,75.8,46.5,59.7,75.8,46.5,59.7,43.1,62.1,0,0,0,,,,17.9,11.4,249.6,1016.2,5.6,8.5,228.1,19.9,8,,2021-01-10T07:34:27,2021-01-10T18:31:53,0.91,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,remote,F6804"
"Tequila, Mexico",2021-01-11,78.2,40.9,59.7,78.2,40.9,59.7,34.8,44.9,0,0,0,,,,,11,214.8,1014.7,0.4,8.5,225.8,19.7,8,,2021-01-11T07:34:34,2021-01-11T18:32:33,0.95,Clear,Clear conditions throughout the day.,clear-day,"MMGL,76613399999,76612099999,F0752,remote,F6804"
"Tequila, Mexico",2021-01-12,77.3,44,58.9,77.3,44,58.8,34.7,43.6,0,0,0,,,,,12.1,209.6,1017.4,35.7,7.8,200.8,17.5,8,,2021-01-12T07:34:40,2021-01-12T18:33:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-13,69.9,40.9,56.9,69.9,40.9,56.7,34.3,46.1,0,0,0,,,,,8.5,71.9,1018.4,79.9,7.4,145.4,12.6,7,,2021-01-13T07:34:45,2021-01-13T18:33:54,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"MMGL,76613399999,76612099999,F0752,remote"
"Tequila, Mexico",2021-01-14,78.3,51.5,61.9,78.3,51.5,61.9,37.3,42.9,3.898,100,4.17,rain,,,,7.8,268.1,1018.2,87.2,6.1,156,13.4,7,,2021-01-14T07:34:48,2021-01-14T18:34:35,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"MMGL,76613399999,76612099999,F0752,remote,F6804"
